,Unnamed: 0,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,age,players_photo,team_photo
159,159,Collin Sexton,77,#2,Cleveland Cavaliers,G,1999-01-04,6-1 / 1.85,190 lbs. / 86.2 kg.,$4764960,USA,2018,1,8,Alabama,26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629012.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
160,160,Dennis Smith,77,#5,New York Knicks,G,1997-11-25,6-2 / 1.88,195 lbs. / 88.5 kg.,$4463640,USA,2017,1,9,NC State,27,https://cdn.nba.com/headshots/nba/latest/1040x760/1628372.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg
161,161,Cody Zeller,77,#40,Charlotte Hornets,C-F,1992-10-05,7-0 / 2.13,230 lbs. / 104.3 kg.,$14471910,USA,2013,1,4,Indiana,32,https://cdn.nba.com/headshots/nba/latest/1040x760/203469.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
162,162,Ivica Zubac,77,#40,Los Angeles Clippers,C,1997-03-18,7-0 / 2.13,265 lbs. / 120.2 kg.,$6481482,Croatia,2016,2,32,,28,https://cdn.nba.com/headshots/nba/latest/1040x760/1627826.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
163,163,Jarrett Culver,77,#23,Minnesota Timberwolves,G,1999-02-20,6-6 / 1.98,195 lbs. / 88.5 kg.,$5813640,USA,2019,1,6,Texas Tech,26,https://cdn.nba.com/headshots/nba/latest/1040x760/1629633.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
164,164,Willy Hernangomez,76,#9,Charlotte Hornets,C-F,1994-05-27,6-11 / 2.11,255 lbs. / 115.7 kg.,$1676735,Spain,2015,2,35,,30,https://cdn.nba.com/headshots/nba/latest/1040x760/1626195.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
165,165,Trevor Ariza,76,#0,Portland Trail Blazers,F-G,1985-06-30,6-8 / 2.03,210 lbs. / 95.3 kg.,$12200000,USA,2004,2,43,UCLA,39,https://cdn.nba.com/headshots/nba/latest/1040x760/2772.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
166,166,DJ Augustin,76,#14,Orlando Magic,G,1987-11-10,5-11 / 1.80,180 lbs. / 81.6 kg.,$7250000,USA,2008,1,9,Texas,37,https://cdn.nba.com/headshots/nba/latest/1040x760/201571.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
167,167,Jose Juan Barea,76,#5,Dallas Mavericks,G,1984-06-26,5-10 / 1.78,175 lbs. / 79.4 kg.,$2564753,Puerto Rico,2006,Undrafted,Undrafted,Northeastern,40,https://cdn.nba.com/headshots/nba/latest/1040x760/200826.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
168,168,Michael Beasley,76,#0,,F,1989-01-09,6-10 / 2.08,235 lbs. / 106.6 kg.,$3500000,USA,2008,1,2,Kansas State,36,https://cdn.nba.com/headshots/nba/latest/1040x760/201563.png,
169,169,Davis Bertans,76,#42,Washington Wizards,F,1992-11-12,6-10 / 2.08,211 lbs. / 95.7 kg.,$7000000,Latvia,2011,2,42,,32,https://cdn.nba.com/headshots/nba/latest/1040x760/202722.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg
